PREVIOUS,CURRENT
Mazaurette,à 15
à 15,heures
heures,pour répondre
pour répondre,à toutes
vos,questions
questions,sur la sexualité
sur la sexualité,en temps
en temps,de confinement
Terres,agricoles
agricoles,et eau
et eau,mobilisées
mobilisées,pour rien
pour rien,gaz
gaz,à effet
à effet,de serre
de serre,émis
émis,en pure
en pure,perte
perte,:
:,environ
environ,13
13,milliard
milliard,de tonnes
de tonnes,de nourriture
de nourriture,sont
sont,jetées
jetées,ou
ou,perdues
perdues,chaque
chaque,année
année,à l’échelle
à l’échelle,mondiale
mondiale,Mais
Mais,selon que
selon que,l’on
l’on,est
est,un
un,pays
pays,à faible
à faible,revenu
revenu,ou
ou,un
un,pays
pays,riche
riche,la lutte
la lutte,contre ce
contre ce,fléau
fléau,qui
qui,figure
figure,parmi les
parmi les,Objectifs
Objectifs,de développement
de développement,durable
durable,fixés
fixés,par les
par les,Nations
Nations,unies
unies,ONU
ONU,pour 2030
pour 2030,ne
ne,poursuit
poursuit,pas
pas,les
les,mêmes
mêmes,buts
buts,:
:,pour les
pour les,uns
uns,il
il,s’agit
s’agit,d’assurer
d’assurer,la sécurité
la sécurité,alimentaire
alimentaire,de leurs
de leurs,populations
populations,pour les
pour les,autres
autres,de réduire
de réduire,l’empreinte
l’empreinte,environnementale
environnementale,de la chaîne
de la chaîne,alimentaire
Dans,un
un,rapport
rapport,publié
publié,lundi
lundi,14
14,octobre
l’Organisation,des Nations
des Nations,unies
unies,pour l’agriculture
pour l’agriculture,et l’alimentation
et l’alimentation,FAO
FAO,a
a,cherché
cherché,à identifier
à identifier,où
et pourquoi,la nourriture
la nourriture,est
est,perdue
perdue,afin
afin,de proposer
de proposer,un
un,éventail
éventail,de solutions
de solutions,aux Etats
«,Comment
Comment,pouvonsnous
pouvonsnous,nous
nous,permettre
permettre,de jeter
de jeter,de la nourriture
de la nourriture,lorsque
lorsque,chaque
chaque,jour
plus,de 820
de 820,millions
millions,de personnes
de personnes,souffrent
souffrent,de la faim
de la faim,à travers
à travers,le
le,monde
monde,?
?,»,
écrit,Qu
Qu,Dongyu
Dongyu,directeur
directeur,général
général,de la FAO
de la FAO,en préambule
en préambule,de cette
de cette,étude
étude,publiée
publiée,à l’occasion
la Journée,mondiale
